frame,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z,r_angle,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,l_angle,r_knee_angle,r_hip_angle,r_ankle_angle,l_knee_angle,l_hip_angle,l_ankle_angle,r_thigh_length,r_calf_length,l_thigh_length,l_calf_length,hip_width,r_knee_flexion,l_knee_flexion
1,-0.10869773477315903,0.0013988190330564976,-0.040931470692157745,-0.11226342618465424,0.380122572183609,-0.0753142237663269,-0.13664525747299194,0.7282975316047668,0.006142063066363335,161.35543236424434,0.10870727896690369,-0.0017401629593223333,0.04211082682013512,0.18894371390342712,0.35388484597206116,-0.09608505666255951,0.1898479163646698,0.7242897152900696,-0.0276624858379364,146.41558128726328,161.35543236424434,165.24004471888412,165.8494828639001,146.41558128726328,151.34881557749688,165.2626023096303,0.3802980003426812,0.35840675597631716,0.38987835882532906,0.37667258062517955,0.23274624891367315,161.0612013317727,145.33634690914053
2,-0.10902305692434311,0.001560039585456252,-0.041289374232292175,-0.11072567105293274,0.37598511576652527,-0.11148317903280258,-0.1337418109178543,0.7223909497261047,-0.03596916049718857,156.84194062939707,0.10901658982038498,-0.001893113018013537,0.04246065765619278,0.1985905021429062,0.3494417369365692,-0.10033735632896423,0.1898951381444931,0.7184910178184509,-0.032456062734127045,144.5759988731796,156.84194062939707,157.78211174822215,166.0216810592586,144.5759988731796,148.92943978071347,163.9216460563375,0.38095171190118354,0.3552873646654359,0.38968055553167774,0.3753409797698719,0.23359640334729237,156.5406586586192,143.86317367083998
3,-0.10942300409078598,0.001576939015649259,-0.041406530886888504,-0.1107281893491745,0.3663858473300934,-0.14102055132389069,-0.13217070698738098,0.7110909223556519,-0.06812763959169388,152.60740761435383,0.10941047221422195,-0.0019085882231593132,0.042571574449539185,0.21100367605686188,0.3379749655723572,-0.11304675042629242,0.1905823051929474,0.7074536681175232,-0.04319512099027634,140.5449644676545,152.60740761435383,153.5150078965384,166.1831625951712,140.5449644676545,146.04278894844407,162.87727246094204,0.3781668892985724,0.35297981088419,0.3873745890541116,0.3765777398589663,0.2344196267972524,152.29526917186038,140.18772312065434
4,-0.10943543165922165,0.002199455164372921,-0.04133144021034241,-0.11353778094053268,0.3669678866863251,-0.12995612621307373,-0.13145503401756287,0.7120110392570496,-0.05554131418466568,154.08709636412144,0.109417624771595,-0.0025149628054350615,0.042493924498558044,0.21237953007221222,0.3176080286502838,-0.14556875824928284,0.1937846690416336,0.6911587715148926,-0.10260497778654099,139.07016297064726,154.08709636412144,155.63264898612732,165.55942139048258,139.07016297064726,143.48397733807013,164.92503467624934,0.37540268096231505,0.35343085510887967,0.38528879589731985,0.3764728579633574,0.23440473078520502,153.82225193269156,139.04422702970524
5,-0.10945247113704681,0.003703204682096839,-0.03877925127744675,-0.12648308277130127,0.36689651012420654,-0.125623881816864,-0.13149309158325195,0.7125118970870972,-0.04818367585539818,153.87358991291381,0.10942849516868591,-0.004028460010886192,0.039954423904418945,0.21367457509040833,0.318035751581192,-0.1381840854883194,0.20757712423801422,0.6882750988006592,-0.08659173548221588,139.9127108556564,153.87358991291381,154.63995828467552,166.21024365850087,139.9127108556564,145.52177399535492,165.10968017717292,0.37382002180746055,0.3542203853438685,0.3825257247508196,0.37386645171176675,0.23273944155965393,153.65063690017953,139.35805119712862
6,-0.10951250046491623,0.006127130705863237,-0.036004919558763504,-0.12918278574943542,0.372698575258255,-0.06903614103794098,-0.1316482126712799,0.7143175005912781,0.04960473254323006,155.56658359998792,0.10947686433792114,-0.006475050467997789,0.03719150647521019,0.21606017649173737,0.30271071195602417,-0.15286029875278473,0.2299918383359909,0.6709990501403809,-0.09180233627557755,137.2415945367121,155.56658359998792,162.24008000936232,163.75079614829338,137.2415945367121,144.84218295481085,165.16002445474405,0.36858188462919345,0.3616423998367724,0.3782532574688833,0.37357524814447457,0.23124202397323024,154.85730153058705,135.1748658668824
7,-0.10954143106937408,0.00684755714610219,-0.03281102702021599,-0.13249731063842773,0.3735892176628113,-0.04729929193854332,-0.13080015778541565,0.7146235108375549,0.0754309892654419,157.62520816021186,0.10949323326349258,-0.007246532943099737,0.03400750085711479,0.219620019197464,0.3079013228416443,-0.14517715573310852,0.2567436397075653,0.673119306564331,-0.06844943016767502,137.90432900618333,157.62520816021186,163.21802104233032,163.65197880794955,137.90432900618333,145.45070579452337,165.16838067191318,0.3677449221752567,0.3624499846508657,0.3788841790616558,0.37503264218556653,0.2294330909492956,155.97216686430252,133.14493424377702
8,-0.10955627262592316,0.007647110149264336,-0.029650794342160225,-0.13550986349582672,0.37408462166786194,-0.029384765774011612,-0.13044850528240204,0.7071918249130249,0.12437155842781067,154.8121517790887,0.10949862748384476,-0.008106015622615814,0.030792295932769775,0.23448602855205536,0.3098904490470886,-0.1255331039428711,0.2999790608882904,0.6628928184509277,-0.018614331260323524,137.46931655311994,154.8121517790887,163.25278977716536,162.93476682973179,137.46931655311994,144.77387423472567,164.62821655710925,0.3673555627701638,0.3669155671715698,0.37574091155275513,0.3746086411727069,0.22778625374606873,151.15921353841603,128.25882622330718
9,-0.10954459011554718,0.008658645674586296,-0.029707688838243484,-0.13585960865020752,0.37488436698913574,-0.01125048752874136,-0.13191522657871246,0.7009879350662231,0.16904368996620178,153.54489313930395,0.10946707427501678,-0.009154974482953548,0.030860379338264465,0.24856266379356384,0.3111971318721771,-0.11782253533601761,0.33603188395500183,0.6463598012924194,-0.008981634862720966,138.58359812548773,153.54489313930395,165.26367660771575,161.87032249182388,138.58359812548773,144.1724635294438,164.11453663193853,0.36763355047250657,0.3726460595539842,0.3795782714878724,0.363085693830521,0.22792964942033375,146.041084956877,124.94438724657195
10,-0.10937467217445374,0.00907765794545412,-0.028047481551766396,-0.12944450974464417,0.37773397564888,0.016752736642956734,-0.13090406358242035,0.7016732096672058,0.18701030313968658,159.01743921358218,0.10926299542188644,-0.00960574857890606,0.02923678047955036,0.26783668994903564,0.311830997467041,-0.08412850648164749,0.3771679699420929,0.6503239274024963,-0.005759212654083967,148.9082571659228,159.01743921358218,170.0847227776981,161.3720715288972,148.9082571659228,145.135703307969,165.98469747655568,0.37191039043435975,0.3659595559391412,0.3759240436476377,0.36424241737645047,0.22678841691716708,144.6883605168478,127.0930480385747
11,-0.10931175202131271,0.009606425650417805,-0.027738342061638832,-0.12875571846961975,0.3801196813583374,0.017167452722787857,-0.13957956433296204,0.7025777697563171,0.17650869488716125,160.5903289907656,0.10918198525905609,-0.010176831856369972,0.028959661722183228,0.27807745337486267,0.31400156021118164,-0.05314524844288826,0.4112915098667145,0.6478421092033386,0.018943309783935547,155.32695969564068,160.5903289907656,170.28624876226172,161.20270202799892,155.32695969564068,146.73914639841203,166.20358991526612,0.3737307465164542,0.35984163998492197,0.37464453193230396,0.3665954953700621,0.22659557396690916,146.12770144298872,125.51192238761854
12,-0.10932660102844238,0.010113287717103958,-0.027319420129060745,-0.13018091022968292,0.38301795721054077,0.0186300128698349,-0.15094713866710663,0.7031431794166565,0.18585243821144104,159.47623699344467,0.10919187217950821,-0.010721244849264622,0.02856946922838688,0.2812877893447876,0.32235226035118103,-0.036604754626750946,0.43056949973106384,0.6458307504653931,0.051507752388715744,156.11164879218975,159.47623699344467,170.73297265545392,161.27763175450747,156.11164879218975,148.57519074527812,165.6691307573032,0.3763032621904709,0.3617661311858246,0.380529425966757,0.36699751567956573,0.22651262400581987,144.5322273366057,122.89321168406273
13,-0.10937600582838058,0.010827342979609966,-0.027411386370658875,-0.1405479609966278,0.38400569558143616,0.009531200863420963,-0.16423460841178894,0.7036372423171997,0.17557862401008606,158.24037450687075,0.10923577845096588,-0.011476613581180573,0.028664497658610344,0.28463080525398254,0.3306604325771332,-0.026442842558026314,0.4491576552391052,0.6446626782417297,0.05818312242627144,158.4106806145221,158.24037450687075,169.14065059472242,161.69847787785125,158.4106806145221,150.01724918462455,165.85735313095938,0.376295799061286,0.3609669370844294,0.3884044190362916,0.3644558253039184,0.22678863171184133,144.93109104291295,121.24116220635332
14,-0.10915916413068771,0.011627613566815853,-0.028398742899298668,-0.14345046877861023,0.38470420241355896,0.00497511588037014,-0.1808793991804123,0.704330325126648,0.17127034068107605,157.72121096164085,0.1090070903301239,-0.012299074791371822,0.029725203290581703,0.289166659116745,0.3311164379119873,-0.021644828841090202,0.4546067714691162,0.6377326250076294,0.06609859317541122,158.30835869283158,157.72121096164085,168.71680195773516,162.2306329121487,158.30835869283158,151.3448612428546,165.79237775736186,0.3761327547154378,0.3622373323432344,0.39119121256989053,0.3592809834536207,0.22704051207203868,144.62016123786316,119.97176923280722
15,-0.10913337022066116,0.01213698647916317,-0.028475213795900345,-0.14484983682632446,0.38580256700515747,0.0024586906656622887,-0.18224595487117767,0.7070413827896118,0.16649016737937927,157.7884110634724,0.10897517204284668,-0.012834995985031128,0.029812071472406387,0.2935498058795929,0.3357836902141571,-0.0031068050302565098,0.4694727659225464,0.6396258473396301,0.08601353317499161,160.86503373680534,157.7884110634724,168.31494636027242,162.22867135079875,160.86503373680534,151.5898684896022,165.7929052534048,0.37664112693897206,0.36262814530081067,0.3958363756066572,0.3622311126874016,0.22713948080519464,145.15092937363943,118.74297970223452
16,-0.10894826054573059,0.01215209811925888,-0.029993761330842972,-0.1448240727186203,0.38672691583633423,0.007038284558802843,-0.1916682869195938,0.711637556552887,0.1668834686279297,159.49046256139258,0.10878591984510422,-0.012850687839090824,0.03136316314339638,0.2912844717502594,0.3386366069316864,0.003766929265111685,0.46962592005729675,0.6415135264396667,0.0776132270693779,163.86087145067637,159.49046256139258,168.928418943278,162.28421312973217,163.86087145067637,152.72600077319754,166.51374963877194,0.3781067843739616,0.3651188679389776,0.39700200497859306,0.35915647878646384,0.227591706345124,145.0200746679972,119.78538526418711
17,-0.10876312106847763,0.01205133181065321,-0.03421679511666298,-0.14445938169956207,0.38668689131736755,0.011292390525341034,-0.21164312958717346,0.7110471129417419,0.18019716441631317,159.01719343335282,0.10859847813844681,-0.012738806195557117,0.03563598170876503,0.29029572010040283,0.3391733467578888,-0.006397673860192299,0.45968207716941833,0.6427489519119263,0.06772571802139282,161.81164602295678,159.01719343335282,169.28329519557533,162.3913252354331,161.81164602295678,153.23255316850535,166.50240233354245,0.3790740184287887,0.3718225813416929,0.39827487911416265,0.3554492414252464,0.22965196751254202,141.95660868500605,120.73482422898822
18,-0.10771801322698593,0.011042717844247818,-0.042470768094062805,-0.14600220322608948,0.3827703595161438,0.010804560035467148,-0.24096910655498505,0.7030704021453857,0.17757034301757812,159.00095844304957,0.10749989748001099,-0.011669326573610306,0.04393640533089638,0.2880513370037079,0.33897218108177185,-0.011408546939492226,0.4446544349193573,0.6442378759384155,0.06366860866546631,159.6684278828334,159.00095844304957,168.2787838381505,163.63388471357578,159.6684278828334,155.30081458562879,162.07233791794033,0.3774723557747587,0.37339209473395457,0.3982604084600052,0.3512097009292584,0.2330252897648979,139.06283999114459,122.0584558423804
