frame,r_knee_angle,r_hip_angle,r_ankle_angle,l_knee_angle,l_hip_angle,l_ankle_angle,r_thigh_length,r_calf_length,l_thigh_length,l_calf_length,hip_width,r_knee_flexion,l_knee_flexion,r_quad_width,r_calf_width,l_quad_width,l_calf_width
11,160.5903289907656,170.28624876226172,161.20270202799892,155.32695969564068,146.73914639841203,166.20358991526612,0.3737307465164542,0.35984163998492197,0.37464453193230396,0.3665954953700621,0.22659557396690916,146.12770144298872,125.51192238761854,0.09622210186337869,0.09320755246879932,0.12495085922180778,0.10561222820861678
12,159.47623699344467,170.73297265545392,161.27763175450747,156.11164879218975,148.57519074527812,165.6691307573032,0.3763032621904709,0.3617661311858246,0.380529425966757,0.36699751567956573,0.22651262400581987,144.5322273366057,122.89321168406273,0.09871070057469696,0.08964020145205118,0.1257053408454758,0.10684275395951444
13,158.24037450687075,169.14065059472242,161.69847787785125,158.4106806145221,150.01724918462455,165.85735313095938,0.376295799061286,0.3609669370844294,0.3884044190362916,0.3644558253039184,0.22678863171184133,144.93109104291295,121.24116220635332,0.09987766496615387,0.08867540876484234,0.12913487248509212,0.10966196021840875
14,157.72121096164085,168.71680195773516,162.2306329121487,158.30835869283158,151.3448612428546,165.79237775736186,0.3761327547154378,0.3622373323432344,0.39119121256989053,0.3592809834536207,0.22704051207203868,144.62016123786316,119.97176923280722,0.10165202352979483,0.08784362407678901,0.13387648187949003,0.1096708806119529
15,157.7884110634724,168.31494636027242,162.22867135079875,160.86503373680534,151.5898684896022,165.7929052534048,0.37664112693897206,0.36262814530081067,0.3958363756066572,0.3622311126874016,0.22713948080519464,145.15092937363943,118.74297970223452,0.10138323192519938,0.08805093651422036,0.13422482475696806,0.11100928592513984
16,159.49046256139258,168.928418943278,162.28421312973217,163.86087145067637,152.72600077319754,166.51374963877194,0.3781067843739616,0.3651188679389776,0.39700200497859306,0.35915647878646384,0.227591706345124,145.0200746679972,119.78538526418711,0.10114464404581955,0.08928965732028943,0.1312327506074837,0.11290940345989185
17,159.01719343335282,169.28329519557533,162.3913252354331,161.81164602295678,153.23255316850535,166.50240233354245,0.3790740184287887,0.3718225813416929,0.39827487911416265,0.3554492414252464,0.22965196751254202,141.95660868500605,120.73482422898822,0.10051639109296977,0.09203439224347286,0.13136257888630073,0.11078446461332699
18,159.00095844304957,168.2787838381505,163.63388471357578,159.6684278828334,155.30081458562879,162.07233791794033,0.3774723557747587,0.37339209473395457,0.3982604084600052,0.3512097009292584,0.2330252897648979,139.06283999114459,122.0584558423804,0.10009729908547396,0.09715504260788424,0.12928200323372682,0.1090132151432126
19,160.54719365223286,165.5115929755543,165.17454333107656,167.93819162846842,157.099701202455,171.14886427299462,0.37894320375869694,0.38528234326544863,0.3961729419066575,0.35497297447397513,0.2258333433413795,133.6049513683663,124.71687222155434,0.10107750516854519,0.10240061774849658,0.12953230752114492,0.10689485750480802
20,159.26475952037842,164.67921835886563,165.98936393149464,167.8427955219246,156.25725553891013,166.76853446849316,0.3796321418727967,0.392390020520946,0.3840927666538591,0.3566315064175579,0.22592284826312617,129.96217904085847,128.20184847090502,0.10078148148838946,0.10888120104321627,0.1316588588888641,0.10532614144952038
21,157.09929467764363,164.78394938925123,165.92785404062877,156.4131778818134,151.79856679149876,166.69423132767935,0.3772166664434433,0.38509522765837206,0.3826529042832029,0.355782594153234,0.2276471051178293,129.65614504541293,128.56095890085803,0.10025370885563994,0.11959980119911906,0.13123864516011224,0.10191225226235197
22,153.9771063681603,165.38324726590085,166.24499218675456,153.88649377788806,150.46747617142395,165.58973092062226,0.3724756992116705,0.38318490362459073,0.3809671333106982,0.3563583360712918,0.22755268187580852,129.78602538946748,129.20494093462105,0.10052922604085762,0.12760132967076715,0.133425609831507,0.09784604773682067
23,152.64345505298778,164.67940027007958,165.81772600089994,150.61654795129516,148.5239255221653,165.31425241722644,0.36912534118486307,0.379694414976304,0.3786632285715557,0.361378473490353,0.22953514682161807,131.14822772340216,129.4403358160365,0.10274755454828291,0.12713241641490372,0.13212657128392918,0.09629373004688162
24,150.53308057737652,163.00627564296482,164.92154101705378,147.28609367977094,146.66759722726874,165.4696906472523,0.36725071488864286,0.37294464069144717,0.37621018331418515,0.3621692608174391,0.22896420134649662,128.30144846331112,128.49310097020447,0.10251612045417978,0.12447368614364629,0.13100083528968706,0.0954206040662503
25,150.0831228528557,161.79790412660827,165.09287266027326,145.35393343194033,146.330103257637,163.8482433297228,0.36446937045854777,0.3722216012974142,0.3738111489751355,0.36512668452087393,0.2295229412917466,129.09425340355992,127.69401648743327,0.10302912813984179,0.12455316280303493,0.13200879705170274,0.09490624888034796
26,150.24732626714194,161.84632574086405,165.1450427210709,144.07683276874943,145.73471886167067,163.98340552983814,0.36332343152624824,0.37470699427118914,0.3726036490964506,0.3657508975759205,0.22973151505031897,128.8436845321786,128.36982454660563,0.10357340251099703,0.12398826720494242,0.1307827923462315,0.09467452723561352
27,148.18435468924756,157.05824408068693,168.41955067249143,145.2089922142074,146.4962915559823,162.66069115195276,0.3581717881632547,0.37010524412307244,0.3689203605129692,0.3668973406916279,0.23060007385177242,129.83369292121338,130.47970382263367,0.10564100745191918,0.1267562230545436,0.12801677197113107,0.09460984055240906
28,145.9332593316163,154.63861019738002,169.30364115479762,146.17662418757547,146.87756948461697,161.05861073951314,0.35473874927493476,0.37878223902734937,0.3657039301188644,0.36883767901911996,0.23144930142528847,126.80076801066835,130.80773881205764,0.10705680831826332,0.12893595154547102,0.12451702215567557,0.09436890177601176
29,147.2317323815586,152.11054971329193,167.8789174256829,145.63602848330288,146.66341368898318,160.77738463381053,0.35452783361910495,0.3804092384573605,0.3628316247114856,0.36924168383284023,0.23152364589783778,126.11886720453757,130.29977666896892,0.10681987331808732,0.13118319352480443,0.12310933722668752,0.09411278817377006
30,146.19255167723162,152.09593749374608,168.13815503116857,145.74403071963567,146.11464343759602,160.60833498092762,0.35373272841538556,0.38563929511952616,0.3547575408181736,0.3709764683055219,0.23341257044458022,124.68107460436164,129.58375423589345,0.10600318477930182,0.13489042250195252,0.12302422048169732,0.09403167614897999
31,145.22237116251122,153.44853955791186,167.71410295709666,145.30756286661284,144.65255575841954,161.3300485575724,0.35291698278376743,0.3844845398138713,0.34534391062389364,0.3720366189030726,0.23405533276820972,123.65171764291438,130.60580521986904,0.1068494654369705,0.13569241445475877,0.12149724329797762,0.09411157584526314
32,142.9578637451459,155.26260957734843,167.28828346413852,144.33274236668765,145.90746309019124,161.44843438345237,0.35394950287481836,0.3920602020799106,0.3365074916675858,0.3709389299931311,0.23538264011713259,119.28820658929253,130.05500704560683,0.10710377576776357,0.13627882910282235,0.11644530966297775,0.09375018396543498
33,144.4307569895741,159.08485300459452,168.73256366462456,144.19850782510542,146.31934382964084,162.47151865724254,0.3553553449601969,0.38552389931457787,0.33376595457896063,0.37352665147632735,0.23983422329803278,119.08436155960251,129.90834651246578,0.10752614043948991,0.1416317764854565,0.11510745345463742,0.09411523518694695
34,143.7709140189127,162.35214028981378,170.328455280467,153.01000948824705,144.15738399126354,162.94527348528584,0.3557229115759934,0.39617536550532734,0.3372984467042295,0.38307192355616876,0.23702449116929258,116.71700059667316,127.2591798059854,0.10673055540516393,0.14671426753186453,0.11616899188315087,0.09443768894286664
35,145.14772285773134,163.44225585897416,170.32715529708597,156.01077302250116,145.75592650466731,164.07704417410622,0.3564558852642775,0.402383310485729,0.3493946929755688,0.37640445333551326,0.2261945368822914,115.82380075391482,129.00884507812026,0.10688408050163048,0.15261578439200763,0.12060863439068367,0.0958693322096109
36,149.7697895796177,162.8071401684995,169.5575524353366,154.27934581022222,149.31901618476303,164.53354703340872,0.3601348006418805,0.4024054837325983,0.346087157819989,0.37473774631536577,0.21952992046384198,113.01404917713622,131.8074916375262,0.10745772950266572,0.15690656108178322,0.12003699552050794,0.09653662051547218
37,149.84591138551372,164.766252817644,172.02511542227612,152.0580247680977,150.23949071832345,164.96661565500955,0.362132355740623,0.4083310904170933,0.3494157861333566,0.3764077171819613,0.21684076735288288,111.68437830887018,128.02026257225438,0.10819870005064722,0.16234315316568373,0.12243879518571059,0.09674983100038137
38,148.1187652424211,164.81278583946448,171.91115732031,152.1502601166383,146.85476319343238,163.75866670019624,0.3613286426345713,0.4135383061230093,0.35749658441457444,0.38350956749475495,0.2192930564306985,109.898109078538,122.19056234358005,0.10782650703933257,0.1643706811610126,0.12254251085076917,0.0969751913346753
39,147.19350613731206,164.5706306484513,171.80719886633443,151.31507788471748,146.47526114325652,163.33246065535815,0.3606563880156169,0.4168487081267026,0.35806524208294493,0.38129839706900626,0.22105039135967486,108.89029449724093,120.38412702299686,0.10772721385031735,0.16484736149807255,0.12199058076999351,0.09648002325781274
40,146.34510419364474,163.58021620279655,171.7880391170158,148.0554834263792,143.9611001610844,163.58912712759644,0.35860701347704543,0.4149592085656261,0.357087471724399,0.3868602007835203,0.2207072243719181,107.5859531237706,117.82302277822353,0.10771552513862374,0.16298709463182126,0.12262907484387221,0.09624773286551058
